Id,MSSubClass,LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_None,Alley_Pave,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,CentralAir_N,CentralAir_Y,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
11,20,70.0,11200,3,0,5,5,1965,1965,0.0,3,4,4,4,3,5,906,6,0,134,1040,0,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,3,1965.0,3,1,384,5,5,2,0,0,0,0,0,0,3,4,0,2,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,60,85.0,11924,0,0,9,5,2005,2006,286.0,0,4,0,4,3,2,998,6,0,177,1175,0,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,2,2005.0,0,3,736,5,5,2,147,21,0,0,0,0,3,4,0,7,2006,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,20,69.69340016708438,12968,1,0,5,6,1962,1962,0.0,3,4,4,4,3,0,737,6,0,175,912,4,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,3,1962.0,3,1,352,5,5,2,140,0,0,0,176,0,3,4,0,9,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14,20,91.0,10652,0,0,7,5,2006,2007,306.0,2,4,2,4,0,6,0,6,0,1494,1494,0,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,2006.0,2,3,840,5,5,2,160,33,0,0,0,0,3,4,0,8,2007,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,20,69.69340016708438,10920,0,0,6,5,1960,1960,212.0,3,4,4,4,3,1,733,6,0,520,1253,4,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,1960.0,2,1,352,5,5,2,0,213,176,0,0,0,3,1,0,5,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,45,51.0,6120,3,0,7,8,1929,2001,0.0,3,4,4,4,3,6,0,6,0,832,832,0,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,3,1991.0,3,2,576,5,5,2,48,112,0,0,0,0,3,0,0,7,2007,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
17,20,69.69340016708438,11241,0,0,6,7,1970,1970,180.0,3,4,4,4,3,0,578,6,0,426,1004,0,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,5,1970.0,0,2,480,5,5,2,0,0,0,0,0,0,3,4,700,3,2010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,90,72.0,10791,3,0,4,5,1967,1967,0.0,3,4,3,2,4,4,0,4,0,0,0,4,4,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,3,1967.0,3,2,516,5,5,2,0,0,0,0,0,0,3,4,500,10,2006,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19,20,66.0,13695,3,0,5,5,2004,2004,0.0,3,4,4,4,3,2,646,6,0,468,1114,0,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,3,2004.0,3,2,576,5,5,2,0,102,0,0,0,0,3,4,0,6,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,20,70.0,7560,3,0,5,6,1958,1965,0.0,3,4,4,4,3,3,504,6,0,525,1029,4,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,1958.0,3,1,294,5,5,2,0,0,0,0,0,0,3,2,0,5,2009,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,60,101.0,14215,0,0,8,5,2005,2006,380.0,2,4,0,4,0,6,0,6,0,1158,1158,0,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,3,4,0,11,2006,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,45,57.0,7449,3,0,7,7,1930,1950,0.0,3,4,4,4,3,6,0,6,0,637,637,0,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1930.0,3,1,280,5,5,0,0,0,205,0,0,0,3,0,0,6,2007,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,20,75.0,9742,3,0,8,5,2002,2002,281.0,2,4,2,4,3,6,0,6,0,1777,1777,0,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,2002.0,2,2,534,5,5,2,171,159,0,0,0,0,3,4,0,9,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,120,44.0,4224,3,0,5,7,1976,1976,0.0,3,4,2,4,3,2,840,6,0,200,1040,4,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,1976.0,3,2,572,5,5,2,100,110,0,0,0,0,3,4,0,6,2007,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,20,69.69340016708438,8246,0,0,5,8,1968,2001,0.0,3,2,4,4,2,5,188,0,668,204,1060,0,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,1968.0,3,1,270,5,5,2,406,90,0,0,0,0,3,2,0,5,2010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,20,110.0,14230,3,0,8,5,2007,2007,640.0,2,4,2,4,3,6,0,6,0,1566,1566,0,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,2007.0,2,3,890,5,5,2,0,56,0,0,0,0,3,4,0,7,2009,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,20,60.0,7200,3,0,5,7,1951,2000,0.0,3,4,4,4,2,1,234,5,486,180,900,4,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,3,2005.0,3,2,576,5,5,2,222,32,0,0,0,0,3,4,0,5,2010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28,20,98.0,11478,3,0,8,5,2007,2008,200.0,2,4,0,4,3,2,1218,6,0,486,1704,0,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,2008.0,2,3,772,5,5,2,0,50,0,0,0,0,3,4,0,5,2010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,20,47.0,16321,0,0,5,6,1957,1997,0.0,3,4,4,4,1,1,1277,6,0,207,1484,4,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1957.0,2,1,319,5,5,2,288,258,0,0,0,0,3,4,0,12,2006,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,30,60.0,6324,0,0,4,6,1927,1950,0.0,3,4,4,4,3,6,0,6,0,520,520,1,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,3,1920.0,3,1,240,1,5,2,49,0,87,0,0,0,3,4,0,5,2008,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,70,50.0,8500,3,0,4,4,1920,1950,0.0,3,1,4,4,3,6,0,6,0,649,649,4,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,3,1920.0,3,1,250,5,1,0,0,54,172,0,0,0,3,2,0,7,2008,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,20,69.69340016708438,8544,0,0,5,6,1966,2006,0.0,3,4,4,4,3,6,0,6,0,1228,1228,2,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,0,6,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,20,85.0,11049,3,0,8,5,2007,2007,0.0,2,4,0,4,0,6,0,6,0,1234,1234,0,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,3,2007.0,2,2,484,5,5,2,0,30,0,0,0,0,3,4,0,1,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,20,70.0,10552,0,0,5,5,1959,1959,0.0,3,4,4,4,3,5,1018,6,0,380,1398,2,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1959.0,2,2,447,5,5,2,0,38,0,0,0,0,3,4,0,4,2010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
